transaction_id,transaction_date,transaction_time,store_id,staff_id,customer_id,product_id,quantity_sold,unit_price,promo_item_yn
363,1/15/2020,11:17:45,8,6,8600,72,1,3.25,Y
363,1/15/2020,11:17:45,8,6,8600,87,1,2.1,Y
1812,1/15/2020,17:14:59,8,43,8600,87,1,2.1,Y
1812,1/15/2020,17:14:59,8,43,8600,72,1,3.25,Y
1597,1/15/2020,19:17:28,8,45,8059,87,1,2.1,Y
1597,1/15/2020,19:17:28,8,45,8059,72,1,3.25,Y
1248,1/16/2020,8:57:30,8,6,8030,87,1,2.1,Y
1248,1/16/2020,8:57:30,8,6,8030,72,1,3.25,Y
1436,1/16/2020,11:06:00,8,44,8600,87,1,2.1,Y
1436,1/16/2020,11:06:00,8,44,8600,72,1,3.25,Y
1769,1/16/2020,14:19:55,8,45,8600,87,1,2.1,Y
1769,1/16/2020,14:19:55,8,45,8600,72,1,3.25,Y
2131,1/16/2020,16:27:47,8,43,8600,87,1,2.1,Y
2131,1/16/2020,16:27:47,8,43,8600,72,1,3.25,Y
1021,1/17/2020,9:05:20,8,42,8311,87,1,2.1,Y
1021,1/17/2020,9:05:20,8,42,8311,72,1,3.25,Y
1425,1/17/2020,9:55:47,8,42,8600,87,1,2.1,Y
1425,1/17/2020,9:55:47,8,42,8600,72,1,3.25,Y
953,1/17/2020,10:54:04,8,42,8600,87,2,2.1,Y
953,1/17/2020,10:54:04,8,42,8600,72,2,3.25,Y
1035,1/18/2020,7:13:33,8,6,8373,87,1,2.1,Y
1035,1/18/2020,7:13:33,8,6,8373,72,1,3.25,Y
34,1/19/2020,9:06:15,8,44,8600,87,1,2.1,Y
34,1/19/2020,9:06:15,8,44,8600,72,1,3.25,Y
760,1/19/2020,9:14:54,8,42,8600,87,1,2.1,Y
760,1/19/2020,9:14:54,8,42,8600,72,1,3.25,Y
1523,1/19/2020,14:22:57,8,45,8600,87,1,2.1,Y
1523,1/19/2020,14:22:57,8,45,8600,72,1,3.25,Y
2211,1/19/2020,14:43:14,8,43,8467,87,1,2.1,Y
2211,1/19/2020,14:43:14,8,43,8467,72,1,3.25,Y
1989,1/19/2020,14:55:48,8,43,8059,87,1,2.1,Y
1989,1/19/2020,14:55:48,8,43,8059,72,1,3.25,Y
56,1/20/2020,10:55:36,5,26,6000,87,1,2.1,Y
56,1/20/2020,10:55:36,5,26,6000,72,1,2.65,Y
667,1/20/2020,11:36:14,5,27,5352,87,1,2.1,Y
667,1/20/2020,11:36:14,5,27,5352,72,1,2.65,Y
498,1/20/2020,11:44:07,5,27,6000,87,2,2.1,Y
498,1/20/2020,11:44:07,5,27,6000,72,1,2.65,Y
572,1/20/2020,13:50:19,5,29,5355,87,2,2.1,Y
572,1/20/2020,13:50:19,5,29,5355,72,2,2.65,Y
54,1/21/2020,7:11:22,5,26,6000,87,2,2.1,Y
54,1/21/2020,7:11:22,5,26,6000,72,2,2.65,Y
187,1/21/2020,7:38:31,5,26,6000,87,2,2.1,Y
187,1/21/2020,7:38:31,5,26,6000,72,2,2.65,Y
155,1/21/2020,10:17:59,8,15,8600,87,1,2.1,Y
155,1/21/2020,10:17:59,8,15,8600,72,1,3.25,Y
573,1/21/2020,13:52:15,5,7,6000,87,1,2.1,Y
573,1/21/2020,13:52:15,5,7,6000,72,1,2.65,Y
581,1/22/2020,7:08:15,8,6,8600,72,1,3.25,Y
581,1/22/2020,7:08:15,8,6,8600,87,1,2.1,Y
29,1/22/2020,8:43:37,5,28,5440,87,1,2.1,Y
29,1/22/2020,8:43:37,5,28,5440,72,1,2.65,Y
630,1/22/2020,10:28:33,5,12,6000,87,2,2.1,Y
630,1/22/2020,10:28:33,5,12,6000,72,2,2.65,Y
515,1/22/2020,10:47:37,5,26,5077,87,1,2.1,Y
515,1/22/2020,10:47:37,5,26,5077,72,1,2.65,Y
2095,1/22/2020,11:38:46,8,43,8600,72,1,3.25,Y
2095,1/22/2020,11:38:46,8,43,8600,87,1,2.1,Y
1666,1/22/2020,12:39:16,8,43,8600,87,1,2.1,Y
1666,1/22/2020,12:39:16,8,43,8600,72,1,3.25,Y
2359,1/22/2020,19:57:02,8,45,8078,72,1,3.25,Y
2359,1/22/2020,19:57:02,8,45,8078,87,1,2.1,Y
620,1/23/2020,7:25:04,5,26,6000,87,2,2.1,Y
620,1/23/2020,7:25:04,5,26,6000,72,2,2.65,Y
669,1/23/2020,8:45:17,8,42,8600,87,2,2.1,Y
669,1/23/2020,8:45:17,8,42,8600,72,2,3.25,Y
683,1/23/2020,8:52:30,5,12,6000,87,3,2.1,Y
683,1/23/2020,8:52:30,5,12,6000,72,3,2.65,Y
566,1/23/2020,8:55:22,5,12,5045,87,1,2.1,Y
566,1/23/2020,8:55:22,5,12,5045,72,1,2.65,Y
179,1/23/2020,9:25:32,8,44,8341,87,1,2.1,Y
179,1/23/2020,9:25:32,8,44,8341,72,1,3.25,Y
1419,1/23/2020,9:39:48,8,44,8117,87,1,2.1,Y
1419,1/23/2020,9:39:48,8,44,8117,72,1,3.25,Y
1553,1/23/2020,11:39:50,8,45,8330,87,1,2.1,Y
1553,1/23/2020,11:39:50,8,45,8330,72,1,3.25,Y
2362,1/23/2020,19:40:23,8,45,8600,87,1,2.1,Y
2362,1/23/2020,19:40:23,8,45,8600,72,1,3.25,Y
557,1/24/2020,9:39:04,8,44,8600,87,1,2.1,Y
557,1/24/2020,9:39:04,8,44,8600,87,1,2.1,Y
557,1/24/2020,9:39:04,8,44,8600,72,1,2.65,Y
2089,1/24/2020,12:23:04,8,43,8600,87,1,2.1,Y
2089,1/24/2020,12:23:04,8,43,8600,87,1,2.1,Y
2089,1/24/2020,12:23:04,8,43,8600,72,1,2.65,Y
1790,1/24/2020,13:09:16,5,27,6000,87,3,2.1,Y
1790,1/24/2020,13:09:16,5,27,6000,72,3,2.65,Y
1546,1/24/2020,14:00:09,5,29,6000,87,2,2.1,Y
1546,1/24/2020,14:00:09,5,29,6000,72,2,2.65,Y
1406,1/24/2020,14:03:32,5,29,6000,87,1,2.1,Y
1406,1/24/2020,14:03:32,5,29,6000,72,1,2.65,Y
1668,1/24/2020,15:43:03,8,45,8600,87,2,2.1,Y
1668,1/24/2020,15:43:03,8,45,8600,72,2,3.25,Y
2126,1/24/2020,16:02:03,8,43,8600,87,1,2.1,Y
2126,1/24/2020,16:02:03,8,43,8600,72,1,3.25,Y
342,1/25/2020,7:18:36,5,12,5687,87,1,2.1,Y
342,1/25/2020,7:18:36,5,12,5687,72,1,2.65,Y
442,1/25/2020,7:35:12,8,44,8600,87,1,2.1,Y
442,1/25/2020,7:35:12,8,44,8600,72,1,3.25,Y
1338,1/25/2020,8:37:39,8,6,8600,87,1,2.1,Y
1338,1/25/2020,8:37:39,8,6,8600,72,1,3.25,Y
507,1/25/2020,10:32:38,5,26,6000,87,1,2.1,Y
507,1/25/2020,10:32:38,5,26,6000,72,1,2.65,Y
386,1/25/2020,11:11:18,8,44,8493,87,1,2.1,Y
386,1/25/2020,11:11:18,8,44,8493,72,1,3.25,Y
